arch,seed,epoch,tf_ratio,train_loss,dev_loss,dev_perplexity,epoch_time_s,peak_vram_gb,lr,params_M
arch5_improved_transformer,4090,0,1.0,7.3467,6.3326,285.027,1177.77,3.662,0.000467,19.278
arch5_improved_transformer,4090,1,1.0,5.9729,5.5088,108.128,1177.76,3.664,0.000933,19.278
arch5_improved_transformer,4090,2,1.0,5.3484,5.0258,61.542,1182.35,3.661,0.00083,19.278
arch5_improved_transformer,4090,3,1.0,4.9859,4.7231,43.188,1180.38,3.627,0.000719,19.278
arch5_improved_transformer,4090,4,1.0,4.4484,4.0611,19.909,1180.54,3.607,0.000643,19.278
arch5_improved_transformer,4090,5,1.0,4.1056,3.8789,16.217,1177.78,3.626,0.000587,19.278
arch5_improved_transformer,4090,6,1.0,3.9569,3.7815,14.562,1177.08,3.663,0.000544,19.278
arch5_improved_transformer,4090,7,1.0,3.8649,3.7159,13.534,1182.83,3.662,0.000508,19.278
arch5_improved_transformer,4090,8,1.0,3.8004,3.6713,12.841,1185.09,3.664,0.000479,19.278
arch5_improved_transformer,4090,9,1.0,3.7516,3.6394,12.414,1187.02,3.663,0.000455,19.278
arch5_improved_transformer,4090,10,1.0,3.713,3.6075,12.001,1188.6,3.625,0.000434,19.278
arch5_improved_transformer,4090,11,1.0,3.6816,3.5795,11.639,1184.57,3.663,0.000415,19.278
arch5_improved_transformer,4090,12,1.0,3.655,3.5674,11.458,1185.73,3.626,0.000399,19.278
arch5_improved_transformer,4090,13,1.0,3.6325,3.5495,11.214,1183.55,3.664,0.000384,19.278
arch5_improved_transformer,4090,14,1.0,3.613,3.5328,11.072,1185.03,3.625,0.000371,19.278
arch5_improved_transformer,4090,15,1.0,3.5961,3.5208,10.906,1216.51,3.736,0.00036,19.278
arch5_improved_transformer,4090,16,1.0,3.5809,3.515,10.797,1225.71,3.699,0.000349,19.278
arch5_improved_transformer,4090,17,1.0,3.5677,3.5034,10.658,1219.56,3.738,0.000339,19.278
arch5_improved_transformer,4090,18,1.0,3.5559,3.4965,10.556,1217.19,3.7,0.00033,19.278
arch5_improved_transformer,4090,19,1.0,3.5445,3.4844,10.475,1216.23,3.699,0.000322,19.278
arch5_improved_transformer,4090,20,1.0,3.535,3.4816,10.392,1221.42,3.699,0.000314,19.278
arch5_improved_transformer,4090,21,1.0,3.5258,3.4742,10.316,1212.32,3.668,0.000307,19.278
arch5_improved_transformer,4090,22,1.0,3.5174,3.4639,10.226,1216.31,3.738,0.0003,19.278
arch5_improved_transformer,4090,23,1.0,3.5098,3.4533,10.116,1154.42,3.701,0.000294,19.278
arch5_improved_transformer,4090,24,1.0,3.5027,3.4501,10.062,1163.45,3.736,0.000288,19.278
arch5_improved_transformer,4090,25,1.0,3.4958,3.444,10.007,1171.96,3.736,0.000282,19.278
arch5_improved_transformer,4090,26,1.0,3.49,3.453,10.066,1159.18,3.738,0.000277,19.278
arch5_improved_transformer,4090,27,1.0,3.484,3.4407,9.96,1157.76,3.737,0.000272,19.278
arch5_improved_transformer,4090,28,1.0,3.4789,3.4376,9.915,1160.97,3.736,0.000267,19.278
arch5_improved_transformer,4090,29,1.0,3.4737,3.4384,9.929,1160.09,3.738,0.000263,19.278
arch5_improved_transformer,4090,30,1.0,3.469,3.4291,9.836,1159.29,3.737,0.000258,19.278
arch5_improved_transformer,4090,31,1.0,3.4642,3.4329,9.868,1175.02,3.679,0.000254,19.278
arch5_improved_transformer,4090,32,1.0,3.4598,3.4237,9.774,1163.88,3.737,0.00025,19.278
arch5_improved_transformer,4090,33,1.0,3.4557,3.4235,9.773,1170.34,3.738,0.000247,19.278
arch5_improved_transformer,4090,34,1.0,3.4521,3.4254,9.77,1169.14,3.738,0.000243,19.278
arch5_improved_transformer,4090,35,1.0,3.4484,3.4206,9.721,1169.91,3.738,0.00024,19.278
arch5_improved_transformer,4090,36,1.0,3.4448,3.4176,9.696,1171.72,3.736,0.000236,19.278
arch5_improved_transformer,4090,37,1.0,3.4416,3.4145,9.659,1175.54,3.738,0.000233,19.278
arch5_improved_transformer,4090,38,1.0,3.4382,3.413,9.661,1168.65,3.737,0.00023,19.278
arch5_improved_transformer,4090,39,1.0,3.4352,3.4103,9.65,1169.19,3.7,0.000227,19.278
arch5_improved_transformer,4090,40,1.0,3.4323,3.4085,9.599,1190.76,3.737,0.000225,19.278
arch5_improved_transformer,4090,41,1.0,3.4297,3.4022,9.574,1193.56,3.738,0.000222,19.278
arch5_improved_transformer,4090,42,1.0,3.427,3.4038,9.544,1180.81,3.737,0.000219,19.278
arch5_improved_transformer,4090,43,1.0,3.4244,3.4029,9.542,1181.52,3.692,0.000217,19.278
arch5_improved_transformer,4090,44,1.0,3.4217,3.3959,9.483,1185.13,3.738,0.000214,19.278
arch5_improved_transformer,4090,45,1.0,3.4193,3.3985,9.51,1193.22,3.739,0.000212,19.278
arch5_improved_transformer,4090,46,1.0,3.4172,3.3959,9.478,1196.21,3.738,0.00021,19.278
arch5_improved_transformer,4090,47,1.0,3.4146,3.3909,9.455,1193.93,3.738,0.000208,19.278
arch5_improved_transformer,4090,48,1.0,3.4128,3.3896,9.458,1184.65,3.705,0.000205,19.278
arch5_improved_transformer,4090,49,1.0,3.4107,3.3905,9.398,1195.06,3.738,0.000203,19.278
arch5_improved_transformer,4090,50,1.0,3.4088,3.3899,9.415,1186.5,3.737,0.000201,19.278
arch5_improved_transformer,4090,51,1.0,3.4068,3.3898,9.422,1181.19,3.739,0.000199,19.278
arch5_improved_transformer,4090,52,1.0,3.4047,3.3881,9.407,1182.91,3.739,0.000198,19.278
arch5_improved_transformer,4090,53,1.0,3.4028,3.3872,9.418,1181.1,3.738,0.000196,19.278
arch5_improved_transformer,4090,54,1.0,3.4006,3.3836,9.36,1188.25,3.705,0.000194,19.278
arch5_improved_transformer,4090,55,1.0,3.3992,3.3848,9.348,1190.6,3.738,0.000192,19.278
arch5_improved_transformer,4090,56,1.0,3.3975,3.3855,9.376,1191.15,3.74,0.00019,19.278
arch5_improved_transformer,4090,57,1.0,3.396,3.3868,9.361,1163.89,3.738,0.000189,19.278
arch5_improved_transformer,4090,58,1.0,3.3939,3.3842,9.357,1173.93,3.736,0.000187,19.278
arch5_improved_transformer,4090,59,1.0,3.3923,3.3798,9.33,1168.16,3.738,0.000186,19.278
arch5_improved_transformer,4090,60,1.0,3.3907,3.3795,9.303,1173.37,3.7,0.000184,19.278
arch5_improved_transformer,4090,61,1.0,3.3892,3.3768,9.253,1186.12,3.735,0.000183,19.278
arch5_improved_transformer,4090,62,1.0,3.3879,3.378,9.292,1191.42,3.737,0.000181,19.278
arch5_improved_transformer,4090,63,1.0,3.3863,3.3751,9.274,1193.22,3.736,0.00018,19.278
arch5_improved_transformer,4090,64,1.0,3.3845,3.375,9.282,1187.7,3.737,0.000178,19.278
arch5_improved_transformer,4090,65,1.0,3.3836,3.3748,9.27,1192.83,3.735,0.000177,19.278
arch5_improved_transformer,4090,66,1.0,3.3822,3.3773,9.289,1194.05,3.736,0.000176,19.278
arch5_improved_transformer,4090,67,1.0,3.3809,3.3733,9.228,1194.09,3.7,0.000174,19.278
arch5_improved_transformer,4090,68,1.0,3.3792,3.3706,9.212,1199.37,3.698,0.000173,19.278
arch5_improved_transformer,4090,69,1.0,3.3778,3.3701,9.226,1182.1,3.691,0.000172,19.278
arch5_improved_transformer,4090,70,1.0,3.3767,3.3725,9.225,1186.13,3.737,0.000171,19.278
arch5_improved_transformer,4090,71,1.0,3.3755,3.3666,9.18,1178.45,3.735,0.000169,19.278
arch5_improved_transformer,4090,72,1.0,3.3744,3.3662,9.201,1183.44,3.737,0.000168,19.278
arch5_improved_transformer,4090,73,1.0,3.3732,3.3648,9.172,1188.64,3.737,0.000167,19.278
arch5_improved_transformer,4090,74,1.0,3.372,3.371,9.226,1179.38,3.665,0.000166,19.278
arch5_improved_transformer,4090,75,1.0,3.3707,3.3668,9.185,1175.12,3.737,0.000165,19.278
arch5_improved_transformer,4090,76,1.0,3.3699,3.3661,9.165,1174.2,3.738,0.000164,19.278
arch5_improved_transformer,4090,77,1.0,3.3688,3.3639,9.136,1170.37,3.737,0.000163,19.278
arch5_improved_transformer,4090,78,1.0,3.3679,3.3672,9.187,1167.5,3.738,0.000162,19.278
arch5_improved_transformer,4090,79,1.0,3.3666,3.3615,9.141,1177.1,3.681,0.000161,19.278
arch5_improved_transformer,4090,80,1.0,3.3657,3.3623,9.149,1179.02,3.699,0.00016,19.278
arch5_improved_transformer,4090,81,1.0,3.3646,3.3596,9.121,1177.45,3.737,0.000159,19.278
arch5_improved_transformer,4090,82,1.0,3.3637,3.3615,9.127,1179.21,3.738,0.000158,19.278
arch5_improved_transformer,4090,83,1.0,3.3626,3.3606,9.124,1169.02,3.737,0.000157,19.278
arch5_improved_transformer,4090,84,1.0,3.3615,3.358,9.112,1176.22,3.699,0.000156,19.278
arch5_improved_transformer,4090,85,1.0,3.3607,3.3568,9.093,1184.05,3.736,0.000155,19.278
arch5_improved_transformer,4090,86,1.0,3.3599,3.3645,9.128,1182.76,3.738,0.000154,19.278
arch5_improved_transformer,4090,87,1.0,3.3591,3.3598,9.107,1180.9,3.738,0.000153,19.278
arch5_improved_transformer,4090,88,1.0,3.358,3.3565,9.087,1179.37,3.737,0.000152,19.278
arch5_improved_transformer,4090,89,1.0,3.3571,3.3568,9.082,1151.67,3.697,0.000152,19.278
arch5_improved_transformer,4090,90,1.0,3.3566,3.358,9.104,1187.57,3.736,0.000151,19.278
arch5_improved_transformer,4090,91,1.0,3.3552,3.3578,9.068,1163.93,3.739,0.00015,19.278
arch5_improved_transformer,4090,92,1.0,3.3545,3.3549,9.084,1171.35,3.738,0.000149,19.278
arch5_improved_transformer,4090,93,1.0,3.3537,3.3575,9.08,1156.02,3.735,0.000148,19.278
arch5_improved_transformer,4090,94,1.0,3.3528,3.3545,9.072,1169.01,3.704,0.000148,19.278
arch5_improved_transformer,4090,95,1.0,3.3521,3.3541,9.06,1177.68,3.7,0.000147,19.278
arch5_improved_transformer,4090,96,1.0,3.3511,3.3491,9.034,1168.87,3.735,0.000146,19.278
arch5_improved_transformer,4090,97,1.0,3.3507,3.3513,9.037,1177.05,3.739,0.000145,19.278
arch5_improved_transformer,4090,98,1.0,3.3497,3.3508,9.041,1179.53,3.737,0.000145,19.278
arch5_improved_transformer,4090,99,1.0,3.349,3.352,9.038,1182.62,3.736,0.000144,19.278
arch5_improved_transformer,4090,100,1.0,3.3481,3.3527,9.019,1183.49,3.691,0.000143,19.278
arch5_improved_transformer,4090,101,1.0,3.3473,3.3508,9.035,1196.87,3.736,0.000142,19.278
arch5_improved_transformer,4090,102,1.0,3.3469,3.3494,9.019,1186.93,3.693,0.000142,19.278
arch5_improved_transformer,4090,103,1.0,3.3459,3.353,9.04,1186.5,3.691,0.000141,19.278
arch5_improved_transformer,4090,104,1.0,3.3455,3.3501,9.016,1185.08,3.736,0.00014,19.278
arch5_improved_transformer,4090,105,1.0,3.3446,3.3508,9.036,1187.35,3.737,0.00014,19.278
arch5_improved_transformer,4090,106,1.0,3.3438,3.3516,9.012,1221.76,3.74,0.000139,19.278
